"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1087","test_hotel_list","test","Mon Feb 24 17:16:54 GMT 2025","passed","Mon Feb 24 17:16:56 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1329","Hootel Login","test","Mon Feb 24 17:16:51 GMT 2025","passed","Mon Feb 24 17:16:52 GMT 2025","TestHootel","test_hootel","",""
